Date,BTC,ETH,XRP,ADA
1/24/2017,887,10.57,N/A,N/A
1/25/2017,896,10.55,N/A,N/A
1/26/2017,917.02,10.6,N/A,N/A
1/27/2017,922.63,10.55,N/A,N/A
1/28/2017,924.98,10.58,N/A,N/A
1/29/2017,916.54,10.49,N/A,N/A
1/30/2017,923.23,10.6,N/A,N/A
1/31/2017,970.01,10.7,N/A,N/A
2/1/2017,992.75,10.72,N/A,N/A
2/2/2017,1008.38,10.82,N/A,N/A
2/3/2017,1018,10.99,N/A,N/A
2/4/2017,1035.54,11.41,N/A,N/A
2/5/2017,1016.32,11.26,N/A,N/A
2/6/2017,1022.58,11.34,N/A,N/A
2/7/2017,1053.96,11.51,N/A,N/A
2/8/2017,1056.7,11.41,N/A,N/A
2/9/2017,994.24,11.02,N/A,N/A
2/10/2017,1001.99,11.43,N/A,N/A
2/11/2017,1018.65,11.52,N/A,N/A
2/12/2017,1010,11.5,N/A,N/A
2/13/2017,1002.82,11.43,N/A,N/A
2/14/2017,1013.92,13.14,N/A,N/A
2/15/2017,1014.53,12.98,N/A,N/A
2/16/2017,1038.94,12.89,N/A,N/A
2/17/2017,1057.3,12.75,N/A,N/A
2/18/2017,1062.15,12.89,N/A,N/A
2/19/2017,1059.88,12.9,N/A,N/A
2/20/2017,1089.82,12.61,N/A,N/A
2/21/2017,1128.29,12.83,N/A,N/A
2/22/2017,1128.71,12.75,N/A,N/A
2/23/2017,1186.9,13.21,N/A,N/A
2/24/2017,1186.91,13.2,N/A,N/A
2/25/2017,1158,13.65,N/A,N/A
2/26/2017,1184.91,14.74,N/A,N/A
2/27/2017,1195.81,15.66,N/A,N/A
2/28/2017,1195.08,16.4,N/A,N/A
3/1/2017,1230,17.37,N/A,N/A
3/2/2017,1269.17,19.27,N/A,N/A
3/3/2017,1292.86,19.68,N/A,N/A
3/4/2017,1273.97,18.65,N/A,N/A
3/5/2017,1278.98,19.4,N/A,N/A
3/6/2017,1284.99,19.68,N/A,N/A
3/7/2017,1237.36,18.96,N/A,N/A
